Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,137.279999,140.509995,136.869995,140.149994,132.604477,5171000
2016-03-08,139.710007,140.350006,137.419998,139.070007,131.582657,5579100
2016-03-09,139.309998,142.169998,139.229996,140.410004,132.850494,4406500
2016-03-10,141.240005,141.470001,138.089996,140.190002,132.642334,4009600
2016-03-11,141.729996,142.919998,140.509995,142.360001,134.695511,4421900
2016-03-14,142.009995,143.190002,141.039993,142.779999,135.092880,4048800
2016-03-15,141.740005,143.330002,141.539993,142.960007,135.263199,3707500
2016-03-16,142.619995,144.880005,142.110001,144.789993,136.994675,4221900
2016-03-17,144.779999,147.320007,144.449997,147.039993,139.123535,5821600
2016-03-18,147.399994,147.509995,145.509995,147.089996,139.170822,12089700
2016-03-21,147.300003,148.710007,146.720001,148.630005,140.627930,3721600
2016-03-22,148.059998,149.279999,147.839996,148.100006,140.126495,4081900
2016-03-23,148.000000,148.029999,145.130005,145.399994,137.571854,4764200
2016-03-24,144.979996,148.220001,144.490005,147.949997,139.984543,5044500
2016-03-28,147.750000,148.649994,147.229996,148.399994,140.410309,3265100
